SAT_UNSAT fast         2.84
Binary    fast         3.7199999999999998
UNSAT_SAT fast         4.02
=== t_easy//t_8.smp ===
SAT_UNSAT pretty_oc    2.21
SAT_UNSAT pretty       2.45
Binary    pretty_oc    2.52
Binary    pretty       2.76
UNSAT_SAT pretty_oc    3.41
UNSAT_SAT pretty       3.59
SAT_UNSAT fast         4.5200000000000005
Binary    fast         4.83
UNSAT_SAT fast         5.84
=== t_easy//t_9.smp ===
SAT_UNSAT pretty_oc    1.0899999999999999
SAT_UNSAT fast         1.1099999999999999
SAT_UNSAT pretty       1.12
Binary    fast         1.4
Binary    pretty_oc    1.4
Binary    pretty       1.4100000000000001
UNSAT_SAT pretty_oc    1.7199999999999998
UNSAT_SAT fast         1.72
UNSAT_SAT pretty       1.7400000000000002
All OK - GREAT SUCCESS
